meanHue, mom1, mom2, mom3, mom4, mom5, mom6, mom7,stdDevHue,entropy,area,distance,class
0.046135, 0.00243138,4.845e-008,1.22376e-010,3.1175e-010,3.34319e-020,-6.68581e-014,5.08932e-020,43.8282,4.54863,21177,396,mela_rossa
0.0626733, 0.00302512,3.47072e-007,1.29493e-009,1.63764e-009,2.38374e-018,6.95595e-013,7.02942e-020,51.3804,3.89625,17498,696,mela_rossa
0.0427982, 0.00243078,4.16709e-008,9.22714e-011,3.10628e-010,3.48015e-020,-5.99903e-014,3.94266e-020,41.37,4.6241,21343.5,398,mela_rossa
0.0648987, 0.00302761,3.53155e-007,1.77974e-009,1.80138e-009,3.22533e-018,7.58231e-013,2.4969e-020,52.7269,3.95783,17346,701,mela_rossa
0.0556625, 0.00248047,5.32061e-008,8.73111e-011,3.30334e-010,3.64043e-020,-7.51426e-014,4.26846e-020,50.0465,4.52699,21287,389,mela_rossa
0.0892697, 0.00308764,2.99377e-007,1.19979e-009,1.94931e-009,2.96969e-018,7.66248e-013,-2.60379e-019,61.674,4.00158,17590,701,mela_rossa
0.0601014, 0.00249944,5.15414e-008,1.14052e-010,3.51599e-010,4.23126e-020,-7.90335e-014,5.62757e-020,52.0365,4.6115,21265.5,390,mela_rossa
0.0880447, 0.00307363,3.07488e-007,1.45261e-009,1.97294e-009,3.33616e-018,7.71186e-013,-1.60119e-019,61.5092,3.93177,17594.5,701,mela_rossa
0.0678106, 0.00316813,3.34547e-007,1.55796e-009,2.21545e-009,4.11327e-018,8.24283e-013,1.48506e-019,53.9869,3.93256,17609.5,696,mela_rossa
0.0503227, 0.00210172,4.57504e-008,1.0349e-010,3.84847e-010,7.25086e-020,-3.2508e-015,2.53241e-020,46.8417,4.5974,11439.5,769,mela_rossa
0.0719714, 0.00314358,3.5743e-007,1.38075e-009,2.01689e-009,3.34326e-018,8.55685e-013,3.88379e-019,55.2962,3.86232,17554.5,698,mela_rossa
0.0419025, 0.00207536,4.51361e-008,1.09904e-010,3.61287e-010,6.68721e-020,3.33667e-015,2.66646e-020,42.5885,4.51229,11511,774,mela_rossa
0.0715487, 0.00313638,3.78328e-007,1.69253e-009,2.05513e-009,3.82786e-018,8.45254e-013,1.96788e-019,55.4013,3.86684,17520.5,705,mela_rossa
0.0465759, 0.00208625,4.49574e-008,1.09685e-010,3.80084e-010,7.33176e-020,7.81062e-015,2.54391e-020,45.0042,4.51746,11478.5,767,mela_rossa
0.0731643, 0.00298451,5.47083e-008,1.29024e-009,1.79299e-009,2.65829e-018,3.51203e-013,6.08738e-019,57.4787,4.03295,15667.5,753,mela_rossa
0.0460051, 0.00200353,3.98671e-008,1.0904e-010,2.86133e-010,4.75344e-020,7.63936e-015,1.71728e-020,44.3293,4.5624,11347,773,mela_rossa
0.0737278, 0.0030729,4.0918e-008,1.25403e-009,2.12778e-009,3.39257e-018,3.36006e-013,7.55637e-019,58.0484,4.06175,15854.5,749,mela_rossa
0.0469624, 0.00204059,4.15377e-008,1.12851e-010,3.23579e-010,5.86801e-020,1.39469e-014,1.94941e-020,44.5482,4.64039,11456.5,773,mela_rossa
