meanHue, mom1, mom2, mom3, mom4, mom5, mom6, mom7,class
0.164433, 0.000691634,1.7963e-008,2.61047e-011,1.78746e-012,2.07109e-024,7.88063e-017,1.2033e-023,tazzina
0.145479, 0.000694974,1.99632e-008,2.73043e-011,2.19283e-012,6.63945e-024,1.63717e-016,1.56147e-023,tazzina
0.17986, 0.000736475,2.29216e-008,1.26684e-011,2.53715e-012,-1.87139e-024,-1.34328e-016,-1.42617e-023,tazzina
0.157321, 0.00075489,1.08651e-008,3.13011e-011,5.06573e-012,3.88154e-023,-5.02775e-016,-5.06196e-023,tazzina
0.119744, 0.000682525,2.51166e-008,2.80128e-011,7.17782e-013,-1.55821e-026,8.17352e-018,3.21856e-024,tazzina
0.153257, 0.000686964,1.97327e-008,2.3973e-011,9.81338e-013,5.609e-025,3.00824e-017,4.72664e-024,tazzina
0.167585, 0.000725145,5.40287e-010,2.31884e-011,2.77209e-012,-1.98551e-023,9.02609e-018,9.98668e-024,tazzina
0.174542, 0.000731644,2.15392e-009,3.45723e-011,3.15407e-012,-3.29294e-023,-4.5834e-017,6.58918e-025,tazzina
0.139821, 0.000727742,4.28326e-009,4.98552e-011,3.72905e-012,-4.74363e-023,-2.04115e-016,-1.83045e-023,tazzina
0.165903, 0.00072425,2.54588e-009,3.47074e-011,3.29679e-012,-3.38058e-023,-1.14408e-016,-1.00406e-023,tazzina
0.154224, 0.000722898,2.9908e-009,4.04103e-011,3.28798e-012,-3.43205e-023,-1.3007e-016,-1.60786e-023,tazzina
0.168867, 0.000732202,1.65055e-008,5.88129e-011,4.23734e-012,-4.39262e-023,-4.74649e-016,-5.04487e-023,tazzina
0.150778, 0.000750128,2.01859e-008,8.40586e-011,6.44128e-012,-7.81691e-023,-6.60935e-016,-1.27884e-022,tazzina
0.115166, 0.000751193,2.23303e-008,4.94035e-011,2.98465e-012,3.95981e-024,-4.41656e-016,3.60257e-023,tazzina
0.190768, 0.000768898,6.57384e-009,5.10823e-011,5.5738e-012,6.31623e-023,-4.06359e-016,6.96854e-023,tazzina
0.182644, 0.00076516,9.56718e-009,4.7602e-011,3.6246e-012,3.48368e-023,-3.54421e-016,3.24523e-023,tazzina
0.145763, 0.000802878,2.74094e-008,8.83097e-011,6.17019e-012,-5.17326e-023,-9.58724e-016,1.34418e-022,tazzina
0.180049, 0.000798368,9.48958e-009,7.56592e-011,6.05918e-012,8.05333e-023,-5.79219e-016,1.01711e-022,tazzina
0.110855, 0.000696579,2.56624e-009,2.78901e-011,9.19351e-013,1.64636e-024,-1.15944e-018,-4.35445e-024,tazzina
0.188335, 0.000822447,1.19732e-008,8.29949e-011,7.43881e-012,7.69638e-023,-7.37152e-016,1.68048e-022,tazzina
0.155216, 0.00076428,3.03927e-008,3.94359e-011,3.83775e-012,-1.76463e-023,-4.99235e-017,4.37912e-023,tazzina
0.116718, 0.00069841,1.67357e-009,2.61138e-011,1.06897e-012,1.37254e-024,-4.62491e-019,-5.47856e-024,tazzina
0.211626, 0.000818274,1.82488e-008,3.08733e-011,8.96011e-012,5.79297e-023,-1.10805e-015,1.37306e-022,tazzina
0.114617, 0.000710641,1.49133e-009,2.47765e-011,5.8895e-013,-1.13713e-024,3.41807e-018,-1.94124e-024,tazzina
0.115612, 0.000718785,7.97179e-010,3.3647e-011,1.40598e-012,-1.06256e-024,3.93248e-017,9.61177e-024,tazzina
0.121893, 0.000707289,9.74992e-010,2.64376e-011,6.9793e-013,-2.98499e-024,1.1534e-017,-2.78851e-025,tazzina
0.111202, 0.000705079,2.36304e-009,3.20011e-011,1.15526e-012,1.92116e-024,-2.09504e-017,-6.75644e-024,tazzina
0.12111, 0.00070978,8.65441e-010,2.8035e-011,1.01102e-012,7.9578e-025,-1.32666e-017,-5.32347e-024,tazzina
0.121014, 0.00070256,3.17368e-009,3.065e-011,7.96969e-013,-1.96891e-025,-1.79169e-018,-3.934e-024,tazzina
0.120055, 0.00070613,1.42036e-009,2.75516e-011,8.15737e-013,-4.67472e-025,-2.3096e-017,-3.83886e-024,tazzina
0.122153, 0.000703816,2.1616e-009,2.76178e-011,6.83222e-013,-1.75767e-024,-4.69087e-018,-2.39134e-024,tazzina
0.0545374, 0.000670822,8.4009e-009,8.28461e-012,1.03013e-012,-1.13435e-024,9.12139e-017,2.78738e-024,tazzina
0.0525975, 0.00066948,1.33148e-008,4.37176e-012,1.11215e-012,8.14181e-026,1.28297e-016,2.45095e-024,tazzina
0.130988, 0.000715244,1.49774e-008,1.6574e-011,3.81683e-012,2.13074e-023,2.58205e-016,2.16236e-023,tazzina
0.137153, 0.000716259,1.57562e-008,1.55616e-011,4.02186e-012,2.03584e-023,2.77799e-016,2.44519e-023,tazzina
0.146168, 0.000734057,3.07457e-009,1.42226e-011,6.39591e-012,5.30803e-023,2.80569e-016,3.0062e-023,tazzina
0.136461, 0.000737989,4.51934e-009,1.50979e-011,7.07087e-012,6.48975e-023,4.11947e-016,3.35526e-023,tazzina
0.145776, 0.000735592,4.16445e-009,1.36001e-011,6.50507e-012,5.24329e-023,3.30944e-016,3.15349e-023,tazzina
0.126076, 0.000718774,4.76091e-009,2.40749e-011,2.26482e-012,-1.56154e-023,-1.1929e-016,-5.98677e-024,tazzina
0.113265, 0.000716933,5.66167e-009,2.92668e-011,2.28526e-012,-1.76511e-023,-1.42167e-016,-6.14185e-024,tazzina
0.0983631, 0.000715501,2.67568e-008,8.68733e-011,3.07214e-012,-4.84106e-023,-4.98097e-016,1.32402e-023,tazzina
0.116318, 0.000725659,2.60474e-008,3.54493e-011,2.85205e-012,-1.15188e-023,-1.44456e-016,2.62623e-023,tazzina
0.131657, 0.000720899,2.58416e-008,2.54048e-011,2.537e-012,-9.68984e-024,-1.42849e-016,1.79149e-023,tazzina
0.180401, 0.000771077,1.3529e-008,2.0806e-011,5.11685e-012,2.25843e-023,2.54361e-016,4.77215e-023,tazzina
0.190543, 0.000766778,1.22535e-008,2.49606e-011,4.43986e-012,1.4283e-023,1.52285e-016,4.45034e-023,tazzina
0.156396, 0.000789365,7.35022e-009,4.73046e-011,6.34298e-012,7.31494e-023,3.32783e-016,8.19835e-023,tazzina
0.174682, 0.000765251,3.91637e-009,2.97447e-011,4.59267e-012,1.15958e-023,1.08537e-016,5.24113e-023,tazzina
0.182628, 0.000769229,5.6015e-009,3.19624e-011,5.54172e-012,6.13314e-024,-1.89473e-017,7.34987e-023,tazzina
0.166152, 0.000768282,2.31932e-009,3.38798e-011,3.87227e-012,1.64335e-023,6.90818e-017,4.11958e-023,tazzina
0.119553, 0.000721886,2.96739e-008,8.78429e-011,3.54773e-012,-6.0501e-023,-6.09653e-016,1.61889e-023,tazzina
0.174843, 0.000700879,1.14897e-008,2.54323e-011,2.36392e-012,2.26698e-024,1.48234e-016,-1.81884e-023,tazzina
